raw_folder,filename,fps,frame_count,width,height,duration_sec
Step_1,HandWash_001_A_01_G01.mp4,30.0,338,720,480,11.266666666666667
Step_1,HandWash_002_A_01_G01.mp4,30.0,338,720,480,11.266666666666667
Step_1,HandWash_003_A_01_G01.mp4,30.0,541,720,480,18.033333333333335
Step_1,HandWash_004_A_01_G01.mp4,30.0,614,720,480,20.466666666666665
Step_1,HandWash_005_A_01_G01.mp4,30.0,338,720,480,11.266666666666667
Step_1,HandWash_006_A_01_G01.mp4,30.0,541,720,480,18.033333333333335
Step_1,HandWash_007_A_01_G01.mp4,30.0,679,720,480,22.633333333333333
Step_1,HandWash_008_A_01_G01.mp4,30.0,544,720,480,18.133333333333333
Step_1,HandWash_009_A_01_G02.mp4,30.0,476,720,480,15.866666666666667
Step_1,HandWash_010_A_01_G02.mp4,30.0,474,720,480,15.8
Step_1,HandWash_011_A_01_G02.mp4,30.0,679,720,480,22.633333333333333
Step_1,HandWash_012_A_01_G03.mp4,30.0,538,720,480,17.933333333333334
Step_1,HandWash_013_A_01_G03.mp4,30.0,472,720,480,15.733333333333333
Step_1,HandWash_014_A_01_G03.mp4,30.0,610,720,480,20.333333333333332
Step_1,HandWash_015_A_01_G04.mp4,30.0,546,720,480,18.2
Step_1,HandWash_016_A_01_G04.mp4,30.0,615,720,480,20.5
Step_1,HandWash_017_A_01_G04.mp4,30.0,344,720,480,11.466666666666667
Step_1,HandWash_018_A_01_G05.mp4,30.0,321,1920,1080,10.7
Step_1,HandWash_019_A_01_G05.mp4,30.0,302,1920,1080,10.066666666666666
Step_1,HandWash_020_A_01_G05.mp4,30.0,314,1920,1080,10.466666666666667
Step_1,HandWash_021_A_01_G05.mp4,30.0,491,1920,1080,16.366666666666667
Step_1,HandWash_022_A_01_G05.mp4,30.0,415,1920,1080,13.833333333333334
Step_1,HandWash_023_A_01_G05.mp4,30.0,532,1920,1080,17.733333333333334
Step_1,HandWash_024_A_01_G05.mp4,30.0,398,1920,1080,13.266666666666667
Step_1,HandWash_025_A_01_G05.mp4,30.0,300,1920,1080,10.0
Step_2_Left,HandWash_001_A_02_G_01.mp4,30.0,334,720,480,11.133333333333333
Step_2_Left,HandWash_002_A_02_G_01.mp4,30.0,334,720,480,11.133333333333333
Step_2_Left,HandWash_003_A_02_G_01.mp4,30.0,398,720,480,13.266666666666667
Step_2_Left,HandWash_004_A_02_G_01.mp4,30.0,401,720,480,13.366666666666667
Step_2_Left,HandWash_005_A_02_G_01.mp4,30.0,470,720,480,15.666666666666666
Step_2_Left,HandWash_006_A_02_G_01.mp4,30.0,408,720,480,13.6
Step_2_Left,HandWash_007_A_02_G_01.mp4,30.0,408,720,480,13.6
Step_2_Left,HandWash_008_A_02_G_01.mp4,30.0,610,720,480,20.333333333333332
Step_2_Left,HandWash_009_A_02_G_02.mp4,30.0,546,720,480,18.2
Step_2_Left,HandWash_010_A_02_G_02.mp4,30.0,411,720,480,13.7
Step_2_Left,HandWash_011_A_02_G_02.mp4,30.0,613,720,480,20.433333333333334
Step_2_Left,HandWash_012_A_02_G_03.mp4,30.0,405,720,480,13.5
Step_2_Left,HandWash_013_A_02_G_03.mp4,30.0,408,720,480,13.6
Step_2_Left,HandWash_014_A_02_G_03.mp4,30.0,272,720,480,9.066666666666666
Step_2_Left,HandWash_015_A_02_G_04.mp4,30.0,413,720,480,13.766666666666667
Step_2_Left,HandWash_016_A_02_G_04.mp4,30.0,344,720,480,11.466666666666667
Step_2_Left,HandWash_017_A_02_G_04.mp4,30.0,339,720,480,11.3
Step_2_Left,HandWash_018_A_02_G_05.mp4,30.0,361,1920,1080,12.033333333333333
Step_2_Left,HandWash_019_A_02_G_05.mp4,30.0,338,1920,1080,11.266666666666667
Step_2_Left,HandWash_020_A_02_G_05.mp4,30.0,412,1920,1080,13.733333333333333
Step_2_Left,HandWash_021_A_02_G_05.mp4,30.0,328,1920,1080,10.933333333333334
Step_2_Left,HandWash_022_A_02_G_05.mp4,30.0,373,1920,1080,12.433333333333334
Step_2_Left,HandWash_023_A_02_G_05.mp4,30.0,391,1920,1080,13.033333333333333
Step_2_Left,HandWash_024_A_02_G_05.mp4,30.0,252,1920,1080,8.4
Step_2_Left,HandWash_025_A_02_G_05.mp4,30.0,234,1920,1080,7.8
Step_2_Right,HandWash_001_A_03_G_01.mp4,30.0,267,720,480,8.9
Step_2_Right,HandWash_002_A_03_G_01.mp4,30.0,467,720,480,15.566666666666666
Step_2_Right,HandWash_003_A_03_G_01.mp4,30.0,401,720,480,13.366666666666667
Step_2_Right,HandWash_004_A_03_G_01.mp4,30.0,398,720,480,13.266666666666667
Step_2_Right,HandWash_005_A_03_G_01.mp4,30.0,396,720,480,13.2
Step_2_Right,HandWash_006_A_03_G_01.mp4,30.0,477,720,480,15.9
Step_2_Right,HandWash_007_A_03_G_01.mp4,30.0,344,720,480,11.466666666666667
Step_2_Right,HandWash_008_A_03_G_01.mp4,30.0,546,720,480,18.2
Step_2_Right,HandWash_009_A_03_G_02.mp4,30.0,472,720,480,15.733333333333333
Step_2_Right,HandWash_010_A_03_G_02.mp4,30.0,605,720,480,20.166666666666668
Step_2_Right,HandWash_011_A_03_G_02.mp4,30.0,671,720,480,22.366666666666667
Step_2_Right,HandWash_012_A_03_G_03.mp4,30.0,272,720,480,9.066666666666666
Step_2_Right,HandWash_013_A_03_G_03.mp4,30.0,408,720,480,13.6
Step_2_Right,HandWash_014_A_03_G_03.mp4,30.0,339,720,480,11.3
Step_2_Right,HandWash_015_A_03_G_04.mp4,30.0,408,720,480,13.6
Step_2_Right,HandWash_016_A_03_G_04.mp4,30.0,336,720,480,11.2
Step_2_Right,HandWash_017_A_03_G_04.mp4,30.0,336,720,480,11.2
Step_2_Right,HandWash_018_A_03_G_05.mp4,30.0,410,1920,1080,13.666666666666666
Step_2_Right,HandWash_019_A_03_G_05.mp4,30.0,329,1920,1080,10.966666666666667
Step_2_Right,HandWash_020_A_03_G_05.mp4,30.0,245,1920,1080,8.166666666666666
Step_2_Right,HandWash_021_A_03_G_05.mp4,30.0,378,1920,1080,12.6
Step_2_Right,HandWash_022_A_03_G_05.mp4,30.0,400,1920,1080,13.333333333333334
Step_2_Right,HandWash_023_A_03_G_05.mp4,30.0,285,1920,1080,9.5
Step_2_Right,HandWash_024_A_03_G_05.mp4,30.0,289,1920,1080,9.633333333333333
Step_2_Right,HandWash_025_A_03_G_05.mp4,30.0,258,1920,1080,8.6
