raw_folder,merged_class,filename,n_frames,at_least_one_hand_rate,both_hands_rate,detection_rate_combined
Step_1,step1_palma_palma,HandWash_001_A_01_G01.mp4,338,0.8905325443786982,0.3106508875739645,0.6005917159763313
Step_1,step1_palma_palma,HandWash_002_A_01_G01.mp4,338,0.7751479289940828,0.08284023668639054,0.4289940828402367
Step_1,step1_palma_palma,HandWash_003_A_01_G01.mp4,541,0.9722735674676525,0.08687615526802218,0.5295748613678374
Step_1,step1_palma_palma,HandWash_018_A_01_G05.mp4,321,0.940809968847352,0.024922118380062305,0.48286604361370716
Step_2_Left,step2_palma_dorso,HandWash_002_A_02_G_01.mp4,334,0.6377245508982036,0.005988023952095809,0.3218562874251497
Step_2_Left,step2_palma_dorso,HandWash_003_A_02_G_01.mp4,398,1.0,0.0,0.5
Step_2_Left,step2_palma_dorso,HandWash_004_A_02_G_01.mp4,401,0.9850374064837906,0.0,0.4925187032418953
Step_2_Left,step2_palma_dorso,HandWash_018_A_02_G_05.mp4,361,0.997229916897507,0.0,0.4986149584487535
Step_2_Right,step2_palma_dorso,HandWash_003_A_03_G_01.mp4,401,0.9825436408977556,0.0,0.4912718204488778
Step_2_Right,step2_palma_dorso,HandWash_004_A_03_G_01.mp4,398,0.9974874371859297,0.0,0.49874371859296485
Step_2_Right,step2_palma_dorso,HandWash_005_A_03_G_01.mp4,396,0.9949494949494949,0.0,0.49747474747474746
Step_2_Right,step2_palma_dorso,HandWash_018_A_03_G_05.mp4,410,0.3121951219512195,0.0,0.15609756097560976
Step_3,step3_palma_entrelacada,HandWash_004_A_04_G_01.mp4,398,0.9321608040201005,0.08793969849246232,0.5100502512562815
Step_3,step3_palma_entrelacada,HandWash_005_A_04_G_01.mp4,470,0.9765957446808511,0.4978723404255319,0.7372340425531915
Step_3,step3_palma_entrelacada,HandWash_006_A_04_G_01.mp4,339,0.9292035398230089,0.07964601769911504,0.504424778761062
Step_3,step3_palma_entrelacada,HandWash_018_A_04_G_05.mp4,306,0.630718954248366,0.0,0.315359477124183
Step_4_Left,step4_dorso_dedos,HandWash_005_A_05_G_01.mp4,401,1.0,0.1596009975062344,0.5798004987531172
Step_4_Left,step4_dorso_dedos,HandWash_006_A_05_G_01.mp4,615,0.9398373983739837,0.11544715447154472,0.5276422764227642
Step_4_Left,step4_dorso_dedos,HandWash_007_A_05_G_01.mp4,615,0.9447154471544715,0.07804878048780488,0.5113821138211382
Step_4_Left,step4_dorso_dedos,HandWash_018_A_05_G_05.mp4,361,0.4099722991689751,0.0,0.20498614958448755
Step_4_Right,step4_dorso_dedos,HandWash_006_A_06_G_01.mp4,405,0.9950617283950617,0.5234567901234568,0.7592592592592593
Step_4_Right,step4_dorso_dedos,HandWash_007_A_06_G_01.mp4,677,1.0,0.670605612998523,0.8353028064992615
Step_4_Right,step4_dorso_dedos,HandWash_008_A_06_G_01.mp4,405,1.0,0.6493827160493827,0.8246913580246914
Step_4_Right,step4_dorso_dedos,HandWash_018_A_06_G_05.mp4,344,0.6133720930232558,0.029069767441860465,0.32122093023255816
Step_5_Left,step5_polegar,HandWash_007_A_07_G_01.mp4,541,0.9907578558225508,0.18853974121996303,0.589648798521257
Step_5_Left,step5_polegar,HandWash_008_A_07_G_01.mp4,810,0.9839506172839506,0.1617283950617284,0.5728395061728395
Step_5_Left,step5_polegar,HandWash_009_A_07_G_02.mp4,474,0.989451476793249,0.2616033755274262,0.6255274261603375
Step_5_Left,step5_polegar,HandWash_018_A_07_G_05.mp4,381,0.89501312335958,0.12860892388451445,0.5118110236220472
Step_5_Right,step5_polegar,HandWash_008_A_08_G_01.mp4,743,0.9919246298788694,0.22072678331090176,0.6063257065948856
Step_5_Right,step5_polegar,HandWash_009_A_08_G_02.mp4,542,0.9686346863468634,0.13284132841328414,0.5507380073800738
Step_5_Right,step5_polegar,HandWash_010_A_08_G_02.mp4,610,0.9836065573770492,0.3622950819672131,0.6729508196721311
Step_5_Right,step5_polegar,HandWash_018_A_08_G_05.mp4,358,0.7932960893854749,0.09776536312849161,0.44553072625698326
Step_6_Left,step6_unhas_palma,HandWash_009_A_09_G_02.mp4,271,1.0,0.3247232472324723,0.6623616236162362
Step_6_Left,step6_unhas_palma,HandWash_010_A_09_G_02.mp4,404,1.0,0.44801980198019803,0.724009900990099
Step_6_Left,step6_unhas_palma,HandWash_011_A_09_G_02.mp4,338,1.0,0.35798816568047337,0.6789940828402367
Step_6_Left,step6_unhas_palma,HandWash_018_A_09_G_05.mp4,444,1.0,0.02252252252252252,0.5112612612612613
Step_6_Right,step6_unhas_palma,HandWash_010_A_10_G_02.mp4,274,1.0,0.05474452554744526,0.5273722627737226
Step_6_Right,step6_unhas_palma,HandWash_011_A_10_G_02.mp4,279,1.0,0.053763440860215055,0.5268817204301075
Step_6_Right,step6_unhas_palma,HandWash_012_A_10_G_03.mp4,201,1.0,0.0,0.5
Step_6_Right,step6_unhas_palma,HandWash_018_A_10_G_05.mp4,223,1.0,0.21524663677130046,0.6076233183856502
Step_7_Left,step7_pulso,HandWash_011_A_11_G_02.mp4,279,0.4874551971326165,0.025089605734767026,0.25627240143369173
Step_7_Left,step7_pulso,HandWash_012_A_11_G_03.mp4,267,0.9775280898876404,0.09363295880149813,0.5355805243445693
